Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
"Pore-Edge Tailoring of Single-Atom Iron?Nitrogen Sites on
Graphene for Enhanced CO2 Reduction",10.1021/acscatal.0c02499,N-G-p,none,0,0,0,0,0,0,0,none,graphene,0,0,1,0,0,0,0,0,0,7.87,0,,,44.8,19.6,27.5,7.9,1.26,,0,100,2,,CO,KHCO3,0,0.1,,nafion 117,177.8,carbon paper,1,,,6.8,,33.47345,51.04359,58.68403,48.23923,23.97298,11.66816,0.01,,,,0.05243,0.10248,0.41189,0.67124,0.78272,1.09213,,,,,,-0.5,-0.39,0.39,58.68403,0.67124,,,,
"Pore-Edge Tailoring of Single-Atom Iron?Nitrogen Sites on
Graphene for Enhanced CO2 Reduction",10.1021/acscatal.0c02499,Fe-N-G,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene,0,0,1,0,0,0,0,0.44,0,7.97,4.14,,,52.9,14.8,23.8,8.5,1.26,,0,900,2,,CO,KHCO3,0,0.1,,nafion 117,177.8,carbon paper,1,,,6.8,,46.69398,67.38325,79.68807,82.03457,46.23612,25.06038,3.88464,,,,0.07746,0.33681,1.00567,1.95891,2.15684,2.07039,,,,,,-0.6,-0.49,0.49,82.03457,2.15684,,,503,118
"Pore-Edge Tailoring of Single-Atom Iron?Nitrogen Sites on
Graphene for Enhanced CO2 Reduction",10.1021/acscatal.0c02499,Fe-N-G-p,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene,0,0,1,0,0,0,0,0.36,0,7.89,3.95,,,53.3,15.1,23.8,7.7,1.28,,0,900,2,,CO,KHCO3,0,0.1,,nafion 117,177.8,carbon paper,1,,,6.8,,57.28185,82.63551,89.18854,94.94033,72.36241,40.77049,9.17857,,,,0.16391,0.7941,2.51402,5.16444,6.57496,7.00722,,,,,,-0.6,-0.49,0.49,94.94033,6.57496,,,1737,118
"Thermal Transformation of Molecular Ni2+?N4 Sites for Enhanced
CO2 Electroreduction Activity",10.1021/acscatal.0c02325,H-NiPc/CNT,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,0.17,0,2.3,3.2,,,57.72292994,28.125,14.15207006,0,,,1,850,3,2.2,CO,KHCO3,0,0.5,2,nafion 117,177.8,glassy carbon,0,0.5,,7.2,,,,48.85651,71.52561,94.19471,96.34967,93.13122,,,,,,,,0.75122,4.15573,10.90437,15.77502,,,,-0.77,-0.66,0.66,96.79,9.35,,,7533,
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,N-C,none,0,0,0,0,0,0,0,none,graphene nanosheets,0,0,1,0,0,0,0,0,0,5.06,0,,,25.81568403,57.81339439,0,16.37092158,0.97,1081.1,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,45.95,56.32,45.95,34.4,27.94,22.9,,,,,,,1.6,2.16,2.87,,,,,-0.56,-0.45,0.45,59.31393,1,,,,595
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,0.05xNiSA/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,0.5,0,2.82,3.4,,,25.18703242,54.76309227,0,20.04987531,0.97,1309.3,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,58.88,73.27,87.66,92.23,91.78,90.76,,,,,,,4.6,9.18,11.3,,,,,-0.86,-0.75,0.75,92.74,11.94,,,707,203
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,NiSA/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,0.86,0,5.03,3.4,,,30.59753546,46.43106254,0,22.971402,0.97,1009.2,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,74.69,82.66,90.63,93.66,94.86,93.47,,,,,,,8.03,13.84,19.65,25.46,,,,-0.86,-0.75,0.75,95.95,23.136,,,8447,139
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,10xNiSA/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,4.26,0,3.49,3.4,,,33.12115891,44.35908692,0,22.51975417,0.97,912.8,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,81.99,87.04,92.09,93,92.72,93.44,,,,,,,7.02,12.18,17.34,22.5,27.66,32.82,,-1.06,-0.95,0.95,93.75,30.756,,,4226,145
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,NiNP@N-CM,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,32.03,0,5.94,7.1,,,39.73561431,46.98289269,0,13.281493,0.93,435.9,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,21.074,45.72,70.366,80.85,84.55,84.22,,,,,,,,,,,,,,-0.86,-0.75,0.75,86.65,,,,559,
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,NiNP@N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,14.18,0,4.72,7.1,,,42.27991411,38.3954714,0,19.32461448,0.93,500.8,0,1000,1,,CO,KHCO3,0,0.1,0.833,nafion 117,177.8,carbon paper,1,0.3,,6.8,,,,60.85,71.01,81.17,83.57,86.33,85.35,,,,,,,,,,,,,,-1.06,-0.95,0.95,86.15,,,,395,
"Isolated Ni single atoms in nitrogen doped ultrathin porous carbon 
templated from porous g-C3N4 for high-performance CO2 reduction",10.1016/j.nanoen.2020.105158,NiSA/N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene nanosheets,0,0,1,0,0,0,0,0.86,0,5.03,3.4,,,30.59753546,46.43106254,0,22.971402,0.97,1009.2,0,1000,1,,CO,KHCO3,0,0.5,0.833,nafion 117,177.8,carbon paper,1,0.3,,7.2,,,,81.6,83.53,85.46,91.81,88.48,86.9,,,,,,,,,,,,,,-0.86,-0.75,0.75,93.42,,,,20646,139
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,NG,none,0,0,0,0,0,0,0,none,graphene like carbon,0,0,1,0,0,0,0,0,0,17.8,0,,,52.00232,22.44999,23.91557,1.63212,,406,0,900,2,2,co,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,1,,6.8,,,,30,31.59,25.83,21.29,18,,,,,,,0.132,0.228,0.279,0.367,0.533,,,,-0.66,-0.55,0.55,34.71,0.26,,,,
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,DNG,none,0,0,0,0,0,0,0,none,graphene like carbon,0,0,1,0,0,0,0,0,0,10.8,0,,,38.54599,11.12816,44.568,5.75785,,258,0,900,2,2,co,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,1,,6.8,,,,45.6,37.62,26.7,24.29,14.94,,,,,,,0.42,0.575,0.83,1.1755,1.445,,,,-0.66,-0.55,0.55,45.62,0.578,,,,
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,NG-SAFe,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene like carbon,0,0,1,0,0,0,0,0.74,0,20.4,4.2,,,50.62483,13.84702,30.35359,5.17456,1.28,382,0,900,2,2,co,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,1,,6.8,,52.43,65.52,71.13,60.88,47.74,36.31,30.53,,,,,0.42,1.15,1.87,2.34,2.58,2.65,2.71,,,,-0.46,-0.35,0.35,71.86,1.8,,,,111.3
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,DNG-SAFe,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene like carbon,0,0,1,0,0,0,0,0.71,0,10.6,3.8,,,40.14181,11.84868,44.99145,3.01806,1.28,279,0,900,2,2,co,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,1,,6.8,,26.2,53.01,70.39,76.7,87.17,91.4,88.85,,,,,0.124,0.664,1.57,5.58,12.54,21.48,29.82,,,,-0.76,-0.65,0.65,91.58,17.52,,,,115.6
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,NG-SAFe,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene like carbon,0,0,1,0,0,0,0,0.74,0,20.4,4.2,,,50.62483,13.84702,30.35359,5.17456,1.28,382,0,900,2,2,co,KHCO3,0,1,1,nafion 117,177.8,carbon paper,1,1,,8.8,,38.1,40.21,32.06,16.5,9.87,6.99,4.11,,,,,0.204,0.684,0.524,0.524,0.452,0.611,0.132,,,,-0.43,-0.32,0.32,42.67,0.45183,,,,111.3
"Electroreduction of Carbon Dioxide Driven by the Intrinsic 
Defects in the Carbon Plane of a Single Fe每N4 Site",10.1002/adma.202003238,DNG-SAFe,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphene like carbon,0,0,1,0,0,0,0,0.71,0,10.6,3.8,,,40.14181,11.84868,44.99145,3.01806,1.28,279,0,900,2,2,co,KHCO3,0,1,1,nafion 117,177.8,carbon paper,1,1,,8.8,,10.54,52.48,82.98,90.25,88.53,79.71,70.89,,,,,0.132,1.63,10.5,23.31,35.66,44.59,44.84,,,,-0.58,-0.47,0.47,90.34,21.01,,,,115.6
"The Effect of the Coordination Environment of Atomically
Dispersed Fe and N Co-doped Carbon Nanosheets on CO2
Electroreduction",doi.org/10.1002/celc.202001437,SA-Fe/NG-600,Fe,55.845,26,7.83,1.83,14.57,6,125,none,doped graphene,0,0,1,0,0,0,0,1.64,0,,4,,,45.97,26.01,28.02,0,0.912,,1,600,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,,97.01858,97.75789,92.99342,80.47983,53.07041,31.02787,18.67858,,,,,0.91045,2.24831,4.17828,5.56082,6.24511,6.94336,8.09687,,,-0.5,-0.39,0.39,97.75789,2.24831,,,,
"The Effect of the Coordination Environment of Atomically
Dispersed Fe and N Co-doped Carbon Nanosheets on CO2
Electroreduction",doi.org/10.1002/celc.202001437,SA-Fe/NG-800,Fe,55.845,26,7.83,1.83,14.57,6,125,none,doped graphene,0,0,1,0,0,0,0,1.64,0,,4,,,38.57,20.97,40.46,0,1.022,,1,800,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,,83.90258,83.16327,82.25966,72.5938,60.38142,43.24026,28.04323,,,,,0.9719,2.75105,4.98266,6.88191,7.61089,7.42934,6.71433,,,-0.4,-0.29,0.29,83.90258,0.9719,10,0.687,,
"The Effect of the Coordination Environment of Atomically
Dispersed Fe and N Co-doped Carbon Nanosheets on CO2
Electroreduction",doi.org/10.1002/celc.202001437,SA-Fe/NG-1000,Fe,55.845,26,7.83,1.83,14.57,6,125,none,doped graphene,0,0,1,0,0,0,0,1.64,0,,4,,,26.98,18.46,54.56,0,1.034,,1,1000,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,,81.08223,82.42395,84.20379,74.53793,41.76163,24.18236,14.95462,,,,,0.72891,2.08072,4.45199,6.4881,6.76181,7.2478,8.90405,,,-0.6,-0.49,0.49,84.20379,4.45199,,,,
"Controlled One-pot Synthesis of Nickel Single Atoms Embedded in
Carbon Nanotube and Graphene Supports with High Loading",10.1002/cnma.202000223,NiSA-N-CNT,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,43.81577576,0,15.31728665,4,2.167343962,38.69,,,,,0.4,130,0,800,1,10,CO,KHCO3,1,0.5,0.5,not mentioned,177.8,carbon paper,1,1,,7.2,,,,58.99541,85.90237,91.18348,85.73524,80.287,,,,,,,2.572701337,10.99419764,27.63201382,46.96931391,,,,,-0.63,-0.52,0.52,93.72,14.751528,,,,
"Controlled One-pot Synthesis of Nickel Single Atoms Embedded in
Carbon Nanotube and Graphene Supports with High Loading",10.1002/cnma.202000223,NiSA-N-G,Ni,58.693,28,7.61,1.91,111.54,8,121,none,graphene,0,0,1,0,0,0,0,17.62886598,0,15.395189,4,4.39862543,62.26,,,,,0.7,308,0,800,1,10,CO,KHCO3,1,0.5,0.5,not mentioned,177.8,carbon paper,1,1,,7.2,,,,76.81082,93.89089,96.9994,93.89089,90.78238,,,,,,,4.386566076,14.42494566,33.54124793,58.68345873,,,,,-0.63,-0.52,0.52,97.9,18.03318,,,,
"Design of Binary Cu每Fe Sites Coordinated with Nitrogen 
Dispersed in the Porous Carbon for Synergistic CO2
Electroreduction",10.1002/smll.202006951,Cu-N-C,Cu,63.546,29,7.69,1.9,119.16,10,138,none,ZIF-derived,1,0,0,0,0,0,0,1.02,0,,3.9,,,55.34003831,0,27.53831418,17.12164751,1.09,,0,900,3,5,CO,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,2,,6.8,,,,58.49635,50.34276,57.42088,62.17297,64.499,55.09486,,,,,,0.05535,0.92746,1.35925,1.69484,1.77607,1.38062,,,-0.9,-0.79,0.79,64.499,1.77607,,,,259.34
"Design of Binary Cu每Fe Sites Coordinated with Nitrogen 
Dispersed in the Porous Carbon for Synergistic CO2
Electroreduction",10.1002/smll.202006951,Fe-N-C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,ZIF-derived,1,0,0,0,0,0,0,0.9,0,,4,,,57.40977324,0,29.1280741,13.46215267,1.13,,0,900,3,5,CO,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,2,,6.8,,,,1.09606,20.95481,21.07987,17.95349,14.00175,11.02544,,,,,,0.7415,1.17328,2.04326,3.32364,4.55486,5.55522,,,-0.7,-0.59,0.59,21.07987,2.04326,,,,259.18
"Design of Binary Cu每Fe Sites Coordinated with Nitrogen 
Dispersed in the Porous Carbon for Synergistic CO2
Electroreduction",10.1002/smll.202006951,Cu-Fe-N6-C,Cu,63.546,29,7.69,1.9,119.16,10,138,Fe,ZIF-derived,1,0,0,0,0,0,0,0.91,0.83,,4.2,,,63.15874818,0,24.12842549,12.71282633,1.02,,0,900,3,5,CO,KHCO3,0,0.1,1,nafion 117,177.8,carbon paper,1,2,,6.8,,,,81.7566,92.66141,97.53856,95.11249,91.16075,89.78514,,,,,,1.45116,2.61398,3.80031,5.92716,6.86981,7.84666,,,-0.7,-0.59,0.59,97.53856,3.80031,,,,244.74
Dual active sites-dependent syngas proportions from aqueous CO2 electroreduction,10.1016/j.apcatb.2020.119380,Ni@NCNTs -CNF 800,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,10.86985168,0,13.66198627,4,6.313416009,69.15,59.06151003,25.05279831,11.13384372,4.751847941,0.98,,1,800,2,5,CO,KHCO3,0,0.5,0.8,nafion 117,177.8,glassy carbon,0,1.131,,7.2,,,,53.35047,56.18902,59.02757,55.24284,51.45811,,,,,,,,2.797370361,6.376866442,8.677114413,,,,,-0.7,-0.59,0.59,59.02757,6.376866442,,,,165
Dual active sites-dependent syngas proportions from aqueous CO2 electroreduction,10.1016/j.apcatb.2020.119380,Ni@NCNTs -CNF 900,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,11.06156672,0,9.706091491,4,3.211661531,75.82,53.03882666,24.26289618,18.0220001,4.676277061,0.99,,1,900,2,5,CO,KHCO3,0,0.5,0.8,nafion 117,177.8,glassy carbon,0,1.131,,7.2,,,,60.56284,63.90121,67.23958,66.49179,65.744,,,,,,,,5.726730588,11.95962169,16.10768267,,,,,-0.7,-0.59,0.59,67.23958,11.95962169,,,,155
Dual active sites-dependent syngas proportions from aqueous CO2 electroreduction,10.1016/j.apcatb.2020.119380,Ni@NCNTs -CNF 1000,Ni,58.693,28,7.61,1.91,111.54,8,121,none,carbon nanotube,0,0,0,0,1,0,0,6.107048027,0,8.641170168,4,2.645921647,82.49,44.69627902,30.98060002,22.0205661,2.302554861,1,,1,1000,2,5,CO,KHCO3,0,0.5,0.8,nafion 117,177.8,glassy carbon,0,1.131,,7.2,,,,79.07846,81.4544,83.83034,82.90906,81.98778,,,,,,,,4.861263756,11.08301644,14.94400985,,,,,-0.7,-0.59,0.59,83.83034,11.08301644,,,,132
"Fe and N co-doped carbon with High doping content of sulfur and nitrogen 
for efficient CO2 electro-reduction",10.1016/j.jcou.2020.101316,FeSA-S/N-C-0,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,1.33,0,7.46479067,4,7.764086522,83.44,44.97,10.46,43.13,1.44,,364.5,1,900,1,,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,0.785,,7.2,,,77.32186,86.89098,78.26116,69.16168,60.0622,50.96272,,,,,,0.816217286,3.600988128,5.063770966,5.404597987,,,,,,-0.45,-0.34,0.34,65.16,1.5423372,,,324,154
"Fe and N co-doped carbon with High doping content of sulfur and nitrogen 
for efficient CO2 electro-reduction",10.1016/j.jcou.2020.101316,FeSA-S/N-C-3,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,1.45,0,6.916123425,4,7.672772708,81.27,41.39,15.22,40.78,2.62,,324.8,1,900,1,,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,0.785,,7.2,,,82.02878,90.59758,80.96262,71.09073,61.21884,51.34695,,,,,,0.883064425,3.918580889,5.657319746,5.844788349,,,,,,-0.49,-0.38,0.38,90.83,3.660449,,,534,
"Fe and N co-doped carbon with High doping content of sulfur and nitrogen 
for efficient CO2 electro-reduction",10.1016/j.jcou.2020.101316,FeSA-S/N-C-6,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,1.75,0,7.556611419,4,7.530069602,79.01,45.39,11.35,40.43,2.84,,367,1,900,1,,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,0.785,,7.2,,,85.94861,94.63016,85.50853,77.46711,69.42569,61.38427,,,,,,1.033085102,4.733466844,6.465120385,7.110349678,,,,,,-0.49,-0.38,0.38,95.07,4.344699,,,564,
"Fe and N co-doped carbon with High doping content of sulfur and nitrogen 
for efficient CO2 electro-reduction",10.1016/j.jcou.2020.101316,FeSA-S/N-C-9,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,1.55,0,7.47844202,4,7.211131488,79.43,40.97,12.5,43.87,2.66,,344,1,900,1,,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,0.785,,7.2,,,87.36063,95.19792,87.53675,79.69946,71.86217,64.02488,,,,,,1.11629413,5.394523414,7.010984627,7.952962045,,,,,,-0.49,-0.38,0.38,96.31,5.1400647,,,660,137
"Fe and N co-doped carbon with High doping content of sulfur and nitrogen 
for efficient CO2 electro-reduction",10.1016/j.jcou.2020.101316,FeNP-S/N-C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,1.35,0,8.678522853,12,5.340019453,83.15,34.19630615,16.82393741,42.32599403,6.6537624,,286.3,1,900,1,,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,0.785,,7.2,,,60.85475,56.71595,43.62445,31.47226,19.32007,7.16788,,,,,,0.568943229,2.205774041,2.634785907,2.449882546,,,,,,-0.54,-0.43,0.43,87.53,3.9799891,,,370,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,N-PC,none,0,0,0,0,0,0,0,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,0,0,,0,6.178556394,84.66370908,25.5,18,42.4,14.1,,,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,31.01948,39.32117,26.63263,15.91539,5.19815,0.01,,,,,,0.1604,0.53227,0.89569,1.53801,,,,,,-0.5,-0.39,0.39,39.93,0.574,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,Fe-N-PC-1,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,2.3,0,2.3,4,7.23421668,82.20354638,44.4,4.7,38.8,12.1,,,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,74.39902,79.10441,69.4152,57.88838,46.36156,34.83474,,,,,,1.46804,4.86536,9.67188,15.75811,,,,,,-0.44,-0.33,0.33,81.22,1.711,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,Fe-N-PC-2,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,2.7,0,2.7,4,5.934434562,83.17718698,44.4,4.7,38.8,12.1,,,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,77.74013,80.16243,70.9187,62.90004,54.88138,46.86272,,,,,,1.55183,6.7316,12.52837,17.67005,,,,,,-0.44,-0.33,0.33,82.58,2.79,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,Fe-N-PC-3,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,3.4,0,3.4,4,5.92545419,81.89015433,44.4,4.7,38.8,12.1,,,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,76.82132,83.78197,78.79815,69.55441,60.31067,51.06693,,,,,,2.54208,10.08321,16.96164,22.84982,,,,,,-0.49,-0.38,0.38,84.09,9.42,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,Fe-N-PC-4,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,3.9,0,3.9,4,5.919236905,81.61789237,44.4,4.7,38.8,12.1,,579.5,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,81.46822,87.79861,81.77363,75.58207,69.39051,63.19895,,,,,,3.70161,12.52506,19.42156,30.59455,,,,,,-0.49,-0.38,0.38,88.71,11.52,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,op-Fe-N-PC,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,3,0,3,4,8.177440044,83.58565931,38.7,8,40.9,12.3,,430.1,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,67.55803,67.55803,49.59416,25.43874,1.28332,0.01,,,,,,1.63097,6.18638,9.63462,11.56158,,,,,,-0.44,-0.33,0.33,70.58,3.422,,,,
"Fe and N Co-Doped Porous Carbon Nanospheres with High Density
of Active Sites for Efficient CO2 Electroreduction",10.1021/acs.jpcc.9b02195,Fe-N-PC-A,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated amorphous carbon,0,1,0,0,0,0,0,3.2,0,3.2,4,6.030801114,82.23392267,43.6,6.4,41.8,8.2,,,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,glassy carbon,0,1,,7.2,,,76.66786,77.24392,67.86252,66.21666,64.5708,62.92494,,,,,,1.74417,7.53923,11.8439,14.96624,,,,,,-0.44,-0.33,0.33,70,3.38,,,,
